Date,Q,P,T
01.11.1980 00:00:00,4.82,0,7.78
02.11.1980 00:00:00,4.51,0,4.78
03.11.1980 00:00:00,4.29,0,9.39
04.11.1980 00:00:00,4.03,0,13.3
05.11.1980 00:00:00,4.03,1.4,12.41
06.11.1980 00:00:00,4.03,12,9.31
07.11.1980 00:00:00,4.31,5,4.99
08.11.1980 00:00:00,4.55,0,3.06
09.11.1980 00:00:00,4.82,0,2.98
10.11.1980 00:00:00,4.98,1.4,3.97
11.11.1980 00:00:00,5.11,9.6,4.49
12.11.1980 00:00:00,6.03,11.5,8.54
13.11.1980 00:00:00,8.27,0,13.23
14.11.1980 00:00:00,9.99,0,10.18
15.11.1980 00:00:00,10.85,14.7,8.15
16.11.1980 00:00:00,13.02,5.1,3.31
17.11.1980 00:00:00,14.88,0,3.15
18.11.1980 00:00:00,15.65,4.6,3.07
19.11.1980 00:00:00,15.56,0,3.54
20.11.1980 00:00:00,14.97,0,3.23
21.11.1980 00:00:00,14.35,0,1.71
22.11.1980 00:00:00,13.83,7.9,2
23.11.1980 00:00:00,13.25,4.9,1.04
24.11.1980 00:00:00,13.4,3.3,1.08
25.11.1980 00:00:00,13.9,10.5,0.02
26.11.1980 00:00:00,14.11,1.1,-1.22
27.11.1980 00:00:00,14.15,0,-4.66
28.11.1980 00:00:00,14.11,2.9,-3.15
29.11.1980 00:00:00,13.83,2.8,-3.12
30.11.1980 00:00:00,13.28,0,-4.55
01.12.1980 00:00:00,12.76,5.1,-8.73
02.12.1980 00:00:00,12.29,0,-10.03
03.12.1980 00:00:00,11.6,0,-9.62
04.12.1980 00:00:00,10.78,0,-8.34
05.12.1980 00:00:00,10.51,4.7,-3.74
06.12.1980 00:00:00,10.09,2.8,-0.37
07.12.1980 00:00:00,9.24,5.8,-0.02
08.12.1980 00:00:00,10.92,21.4,0.12
09.12.1980 00:00:00,15.86,2.1,-2.13
10.12.1980 00:00:00,17.64,7.4,-2.61
11.12.1980 00:00:00,18.42,13.1,1.27
12.12.1980 00:00:00,20.5,1.6,0.63
13.12.1980 00:00:00,21.16,1.3,-5.81
14.12.1980 00:00:00,20.93,1.2,-6.65
15.12.1980 00:00:00,20.42,0.9,-6.43
16.12.1980 00:00:00,20.29,6.7,-6.57
17.12.1980 00:00:00,20.92,1.4,-5.09
18.12.1980 00:00:00,21.16,1.7,-7.07
19.12.1980 00:00:00,21.75,7,-3.21
20.12.1980 00:00:00,21.85,3.5,-0.93
