Date;Obs;Sim;Sim_Error
1989-06-30;1.730000;4.384392;0.314144
1989-07-01;1.730000;4.339234;0.331735
1989-07-02;1.730000;4.155674;0.330284
1989-07-03;1.730000;4.188265;0.338797
1989-07-04;1.730000;4.061723;0.338142
1989-07-05;1.730000;4.041338;0.346624
1989-07-06;1.730000;3.789135;0.338830
1989-07-07;1.730000;3.549773;0.315922
1989-07-08;1.730000;3.130670;0.333266
1989-07-09;1.730000;2.887005;0.329466
1989-07-10;1.730000;2.728123;0.313108
1989-07-11;1.730000;2.639195;0.327001
1989-07-12;1.720000;2.333472;0.328592
1989-07-13;1.730000;2.694600;0.317394
1989-07-14;1.730000;2.948540;0.318640
1989-07-15;1.730000;3.017030;0.327626
1989-07-16;1.730000;2.918096;0.320607
1989-07-17;1.720000;2.777470;0.342904
1989-07-18;1.690000;2.804089;0.322552
1989-07-19;1.620000;2.772172;0.326799
1989-07-20;1.590000;2.811165;0.325540
1989-07-21;1.420000;2.890206;0.329353
1989-07-22;1.420000;2.729221;0.321131
1989-07-23;1.420000;2.714468;0.351359
1989-07-24;1.350000;2.592651;0.326957
1989-07-25;1.220000;2.327366;0.323352
1989-07-26;1.130000;2.378047;0.328029
1989-07-27;1.120000;2.427073;0.331740
1989-07-28;1.120000;2.410952;0.325757
1989-07-29;1.120000;2.370962;0.333983
1989-07-30;1.120000;2.259502;0.351277
1989-07-31;1.180000;2.289803;0.345903
1989-08-01;1.120000;2.442594;0.342319
1989-08-02;1.160000;2.481301;0.346960
1989-08-03;1.260000;2.302589;0.356918
1989-08-04;1.180000;2.121235;0.351176
1989-08-05;1.210000;2.102662;0.340058
1989-08-06;1.210000;2.069075;0.336232
1989-08-07;1.450000;2.327929;0.353746
1989-08-08;1.340000;2.617938;0.359363
1989-08-09;1.230000;2.656756;0.356014
1989-08-10;1.230000;2.744328;0.340829
1989-08-11;1.260000;2.727840;0.364627
1989-08-12;1.120000;2.654771;0.357356
1989-08-13;1.120000;2.531153;0.352322
1989-08-14;1.120000;2.328946;0.350562
1989-08-15;1.120000;2.170200;0.361408
1989-08-16;1.120000;2.171328;0.355276
1989-08-17;1.120000;1.980701;0.357852
1989-08-18;1.120000;2.135730;0.352339
1989-08-19;1.120000;2.176269;0.358162
1989-08-20;1.120000;2.243158;0.347598
1989-08-21;1.130000;2.550628;0.348668
1989-08-22;1.120000;2.798539;0.353355
1989-08-23;1.120000;2.747889;0.347561
1989-08-24;1.120000;2.598279;0.353575
1989-08-25;1.120000;2.324295;0.341782
1989-08-26;1.120000;2.026990;0.356441
1989-08-27;1.120000;1.855237;0.352755
1989-08-28;1.120000;1.968937;0.355036
1989-08-29;1.120000;1.906794;0.359086
